id,title,authors,publication_year,journal_name,abstract,doi,url
14,"An Exploration Of The Experiences Of Modern Marketers: Skills Gaps, Mindset, And The Role Of Career Stage",Tim Crowley,2021,,"The digitalisation of marketing is the greatest change that the marketing profession has experienced (Kähler & Magnusson, 2018) and digital technologies now sit at the forefront of modern marketing (Thomas & Thomas, 2018). Digital marketing has numerous benefits (Kumar, 2015; Malar, 2016), however, digitalisation is disruptive (Mgiba, 2019) and has resulted in mismatched skills and an increased need for reskilling and upskilling (Bajpai & Biberman, 2019). Accordingly, skills gaps are evident (Crush, 2011; Day, 2011; Hege, 2020; Quinn et al., 2016; Royle & Laing, 2014; Wood, 2011). Notwithstanding, there is a scarcity of research in this area (Raghuraman, 2017; Royle & Laing, 2014) especially in terms of studies which investigate the experiences and challenges of marketers within practice (Brady et al., 2008; Leeflang et al., 2014; Quinn et al., 2016; Reibstein et al., 2009; Valos et al., 2010). This study investigates how the lived experiences of modern marketers provide an insight into the interplay between skills gaps and the digital transformation of marketing. A mixed method approach was utilised. Twenty-six in-depth interviews were employed across two cohorts of marketers. A typical 5-point Likert scale survey questionnaire was then utilised which provided further insight into the data. Finally, two online focus groups allowed the researcher to further explore key findings and to present the descriptive model to an informed group of marketers. The key output of this study is a descriptive model which describes the experiences of modern marketers. This model also details an underlying mindset issue. While marketing skills gaps have been noted in literature the data indicates that skills gaps may not be the pertinent issue. Instead, skills gaps appear symptomatic of a fundamental mindset issue. Study findings suggest a misdiagnosis within literature and shift focus from skills gaps to mindset. Furthermore, the role of career stage is accentuated as dissimilar mindsets became evident as early and later career marketers displayed divergent foci. Both early and later career marketers appear focused on the elements of marketing which are aligned to their mindset, while a subsequent lack of knowledge and skills in the areas outside the scope of their mindset became apparent. Study findings also provide a more nuanced insight into literature and suggest that the marketing profession should not be viewed as a homogenous group as issues may not be pervasive to marketing. Instead, they appear to vary based on career stage. Study findings have potential implications across numerous areas such as policy, education and practice, while this study provides a foundation on which future research can build upon. ",https://doi.org/10.34719/wmgj9957,https://sword.cit.ie/allthe/8/
15,"Advances in E-Recruiting: Sources, Opportunities, and Challenges",In Lee,2016,"Encyclopedia of E-Commerce Development, Implementation, and Management (pp. 125-133). IGI Global Scientific Publishing.","Recently, a web-enabled e-recruiting emerged quickly as a powerful method for both job seekers and recruiters. E-recruiting has become an integral part both among job applicants and among recruiters. E-recruiting reduces costs for recruitment and selection, increases the number of suitable applicants, enables time savings for both recruiters and job applicants and improves the corporate image (Lang et al., 2011). E-recruiting has driven companies to redesign the recruiting process and to move quickly to web-based integrated human resource systems that provide standardized frameworks for key personnel processes (Cullen, 2001). Currently, corporate career web sites are among the most widely deployed e-business web sites (Maurer & Liu, 2007). Job seekers visit corporate career web sites to survey a job market in addition to searching for job opportunities. Recruiting via social networks such as Facebook and LinkedIn is also on the rise. In an attempt to use corporate websites to recruit job applicants from a labor market, employers have often found their hiring systems to be unexpectedly overwhelmed by large numbers of applications from poorly qualified individuals (Maurer & Cook, 2011). E-recruiting systems have evolved through numerous technological developments since its introduction in the mid-1990s. At the early stage of the corporate e-recruiting system, the purpose of the career web site was to simply post job openings on the static web page for job seekers’ information (Lee, 2005). As e-commerce technologies advanced and recruiters gained more e-recruiting experience, the front-end e-recruiting systems added new features and functions, targeted job seekers better, and integrated with a back-end human resource management system. An advanced e-recruiting system of large companies has been powered by an enterprise-wide system and incorporated best practice recruiting methodologies to achieve strategic advantage. The main purposes of this chapter are to give an update on the various e-recruiting sources and to review opportunities and challenges in developing and managing e-recruiting. This chapter is organized as follows: Section 2 compares the traditional recruiting and e-recruiting processes. Section 3 discusses seven major categories of the e-recruiting sources. Finally this chapter concludes with the discussions of opportunities, challenges, and future e-recruiting research directions.",https://doi.org/10.4018/978-1-4666-9787-4.CH010,https://www.igi-global.com/gateway/chapter/148954
16,"2024 State of Tech Talent Report: Survey-based Insights into the Current State of Technical Talent Acquisition, Retention, and Management Globally",Adrienn Lawson,2024,,"LF Research and LF Training & Certification partnered again this year to study trends in the technical talent market, surveying individuals responsible for hiring and training IT professionals. The aim of this research was to understand how technical skill development and organizational strategies are changing in response to emerging technologies and economic challenges, in particular the IT layoffs in 2023 and the growing use of generative AI tools. Key findings from the report indicate that despite headlines, only a minority of companies reduced their technical headcount in 2023. What's more, companies are choosing to prioritize upskilling and cross-skilling over hiring to diversify their staff's skills in strategic domains, such as Cloud, DevOps, cybersecurity, and AI / ML.",https://doi.org/10.70828/lejn2246,https://www.linuxfoundation.org/research/open-source-jobs-report-2024
17,Hands-on Learning Modules for Upskilling in Industry 4.0 Technologies,"A. O. Júnior, Heitor Assumpcao, J. Queiroz, Luis Piardi, Javier Parra, Paulo Leitão",24 May 2022,Industrial Cyber-Physical Systems,"The Industry 4.0 (I4.0) advent is re-shaping the way systems and processes operate by considering Cyber- Physical Systems combined with a plethora of emergent Information and Communication Technologies (ICT), e.g., Internet of Things (IoT), Artificial Intelligence, Cloud Computing and Intelligent Robotics. However, the emergence of such disruptive technologies strongly establishes a demand for upskilling and requalification of active professionals and young undergraduate students. This means that the wide adoption of the 14.0 systems and related tech-nologies is dependent on the efficient implementation of lifelong learning and training initiatives that address these challenges. Having this in mind, this paper describes the implementation of a series of short learning modules and hackathons that relies on a strong hands-on practical experimentation, regarding the upskilling in emergent ICT technologies, particularly focusing on IoT, mobile robotics and Multi-agent Systems. The preliminary efforts contributed to qualify undergraduate students and active professionals in disruptive ICT, with the attendees' feedback illustrating the importance of these kind of short and hands-on learning modules to address towards the continuous demands associated to the diaital transformation.",https://doi.org/10.1109/icps51978.2022.9816909,https://www.semanticscholar.org/paper/Hands-on-Learning-Modules-for-Upskilling-in-4.0-J%C3%BAnior-Assumpcao/0e7ac23a084ecdbcc00982fb820e8a4c2b0063dc
18,"The Implications of Artificial Intelligence on the
Employment Sector","Rohan Dinkar Jadhav, Abhijit Banubakode",13 June 2024,International Journal for Multidisciplinary Research,"The rapid advancements in Artificial Intelligence (AI) technologies are poised to revolutionize various sectors, significantly influencing the employment landscape. This research paper delves into the multifaceted impact of AI on job roles, workforce displacement, and the evolving job market. Utilizing a blend of theoretical frameworks and empirical studies, the paper scrutinizes the adoption of AI models, including machine learning and natural language processing, by companies aiming to automate and replace numerous tasks and job functions. AI technologies are increasingly capable of performing tasks that were traditionally carried out by humans, particularly those that are repetitive and structured. Industries such as manufacturing, logistics, and customer service are already experiencing substantial transformations due to AI-driven automation. For instance, AI-powered robots and algorithms are taking over assembly line work, warehouse management, and customer interactions through chatbots and virtual assistants. This trend is expected to accelerate, potentially leading to significant job losses and displacement in these sectors. The paper presents evidence from various studies highlighting the susceptibility of certain occupations to automation and the consequent risk of unemployment for workers engaged in these roles. However, the impact of AI on employment is not solely negative. The paper underscores the potential of AI to spur job creation in emerging industries and fields. As AI technologies advance, new job categories are likely to emerge, particularly in tech-centric domains such as AI development, data analysis, and cybersecurity. Moreover, AI can enhance productivity and innovation, leading to the growth of new business models and industries. For instance, the development and maintenance of AI systems require skilled professionals, thus creating opportunities in software engineering, AI ethics, and related fields. The paper discusses how these new roles can offset some of the job losses caused by automation. A crucial aspect of this transformation is the need for workforce reskilling and upskilling. The paper emphasizes that to mitigate the adverse effects of AI on employment, there is an urgent need for comprehensive reskilling initiatives. Workers must be equipped with new skills that are in demand in the AI-driven job market. This includes technical skills related to AI and data science, as well as soft skills such as problem-solving, creativity, and emotional intelligence, which are less susceptible to automation. The study highlights successful reskilling programs and initiatives undertaken by governments, educational institutions, and private companies, offering insights into effective strategies for workforce development. In addition to examining the direct impact on jobs, the paper explores the broader ethical considerations and policy implications of AI’s integration into the workplace. Ethical issues such as bias in AI algorithms, privacy concerns, and the potential for increased inequality are addressed. The paper calls for robust policy frameworks to ensure that the benefits of AI are equitably distributed and that the negative consequences are mitigated. This includes policies to support displaced workers, promote fair labour practices, and ensure transparency and accountability in AI deployment. The findings of this research contribute to the ongoing discourse on the societal and economic consequences of AI. By providing a nuanced analysis of both the challenges and opportunities presented by AI, the paper offers valuable insights for policymakers, employers, and workers. It emphasizes the importance of proactive and collaborative efforts among all stakeholders to navigate the evolving employment landscape shaped by AI. The paper concludes with recommendations for fostering an inclusive and resilient workforce capable of thriving in an AI-driven future.",https://doi.org/10.36948/ijfmr.2024.v06i03.22716,https://pdfs.semanticscholar.org/2722/b27cd80a12824b8ea129d08eca8a2e9627aa.pdf
19,Contemporary Challenges and Adaptations in Work-Life Balance Among IT Professionals in Nanotechnology,"Mahima Kapoor, Dr. Vivekanand Pandey",22 June 2024,Nanotechnology Perceptions ,"In the rapidly evolving field of nanotechnology within the IT industry, professionals face unique challenges in maintaining a work-life balance. This study explores the contemporary variations in work-life balance experienced by IT professionals specializing in nanotechnology, with a focus on the specific pressures and adaptations required in this highly specialized domain. Through a combination of qualitative interviews and quantitative surveys, this research identifies key factors influencing work-life balance, including the high demands of innovation, long working hours, and the need for constant upskilling. The study also examines how these professionals adapt to these challenges through flexible working arrangements, remote work options, and personal time management strategies. The findings reveal a complex interplay between professional commitments and personal well-being, highlighting the need for organizational support systems that address the unique needs of nanotechnology professionals. This research contributes to the broader understanding of work-life balance in the IT industry and offers actionable insights for organizations aiming to enhance employee well-being in high-tech, fast-paced environments.",https://doi.org/10.62441/nano-ntp.vi.1438,https://nano-ntp.com/index.php/nano/article/view/1438
20,"Career Break, Not a Brake on Career: A Study of the Reasons and Enablers of Women’s Re-entry to Technology Careers in India","Swati Singh, Sita Vanka",26 November 2020,Business Perspectives and Research,"Career re-entry of women in the technology sector remains an unexplored area. With the increasing focus of information technology (IT) organisations to attract, retain and promote women at the workplace, career re-entry among women professionals’ merits attention. The purpose of this study is to investigate the reasons and enablers of career re-entry among women who plan a re-entry in the IT sector in India. This study employed a qualitative research method and used interviews as a tool for data collection. Data collected through the interviews of re-entry women (n = 28) was analysed with the help of qualitative analysis software ATLAS.ti. Further, text analysis was also performed through Voyant tools. Findings suggest that a strong career identity, a high level of work centrality and an urge to regain financial independence motivated women to return to IT careers. Findings revealed seven distinct enablers of career re-entry. Based on this finding, a model of the support ecosystem is discussed that presents an intricate relationship between the enablers of career re-entry, support ecosystem and career resumption. Moreover, findings indicate that an active agency of women, a support ecosystem and favourable life events lead to career re-entry. Managerial and theoretical implications of findings are discussed. The article concludes with limitations and future research agenda.",https://doi.org/10.1177/2278533720964328,https://journals.sagepub.com/doi/10.1177/2278533720964328
21,Building Cross-Sector Careers in India's New Service Economy? Tracking Former Call Centre Agents in the National Capital Region,"B. Vira, Al James",1 March 2012,Development and Change,"This article presents findings from a labour mobility survey of 250 former call centre agents in India's National Capital Region (September 2008) exploring individuals’ employment before, during and immediately after leaving India's high-profile call centre ‘industry’. These data are combined with forty-two in-depth interviews conducted in India's NCR (July 2006 to August 2008) with call centre agents, managers, ex-call centre agents, labour organizers and economic development officials, as well as representatives from different labour market intermediaries. The study gives a cautiously optimistic account about the call centre work and employment opportunities on offer in India's ‘IT Enabled Services – Business Processing Outsourcing’ (or ITES-BPO) industry, and their implications for young urban middle class graduates based on: (i) the movement of around one fifth of the ex-call centre agent sample into further study, facilitated by relatively high call centre salaries; (ii) the movement of ex-call centre agents into higher paying job roles in a wide range of sectors including banking, IT, insurance, marketing, real estate and telecommunications; and (iii) the development of transferable skills in Indian call centres that are recognized by ex-call centre agents and their subsequent employers as conferring a labour market advantage in other sectors of India's new service economy relative to colleagues without prior call centre work experience.",https://doi.org/10.1111/J.1467-7660.2012.01768.X,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7660.2012.01768.x
22,Entrepreneurship education and entrepreneurial communities in India: does gender really play a role?,"Maheshkumar P. Joshi, Deepak Pandit, Shalini Rahul Tiwari, Archana Choudhary ",27 February 2024,Journal of Enterprising Communities: People and Places in the Global Economy,"Purpose
Using the extant literature review, this paper aims to explore the relationship between gender, entrepreneurial education (EE) and entrepreneurial intention (EI) in the Indian context, which the authors believe is a novel approach to this research stream. The authors also use career preparedness as a control variable to examine this relationship.


Design/methodology/approach
Data were collected from 368 undergraduate students across four Indian universities (one exclusively for female students) through a standard structured questionnaire. Additionally, rather than examining, EI has been treated as a monolithic construct; however, the authors conceptualize it as comprising three different dimensions that include grand vision and risk-taking ability; opportunity exploitation; and ability to persevere. An additional analysis was conducted for the students who reported higher scores for “being well prepared for their careers” through their institutes’ academic programs and communities of entrepreneurs. The authors also interviewed some entrepreneurship instructors, who confirmed the present findings through their observations.


Findings
The findings indicate that, essentially, there is a positive relationship between EE and EI. The authors find that male students scored higher for the first two dimensions of EI but not the third. Additionally, the authors used career preparedness as a control variable for additional analysis. The authors observed that students with higher “career preparedness” reported a positive relationship between EE and EI, independent of gender, for all three dimensions of EI. Thus, it may be assumed that if a community of entrepreneurs needs to be developed in India, a focus on career preparedness is critical.


Research limitations/implications
First, given that the present survey reflected a single moment in linking EE to EI (which may be considered a limitation of the study), future researchers might focus on a longitudinal approach. Second, all the respondents are attending urban universities (and, as such, very likely belong to the upper middle class of Indian society). The financial divide between urban and rural India is well known; as such, the results might be different if the sample was drawn from rural and poor India.


Originality/value
The salience/value of this study lies in the conceptualization of EI comprising three sub-constructs to understand the impact of formal EE (with three sub-constructs) on EI. The focus on career preparedness for a female student is a new direction of inquiry with respect to entrepreneurial intention.",https://doi.org/10.1108/jec-10-2022-0145,https://www.emerald.com/insight/content/doi/10.1108/jec-10-2022-0145/full/html
23,From jobs to careers: drivers and barriers to career development in emerging labor markets,"Wang Luwei, Huimin Ma",6 November 2024,Frontiers in Sociology,"Introduction This study aims to reveal the intrinsic and extrinsic drivers of career development in emerging labor markets and to explore the impact of these drivers and barriers on career development. With the rapid transformation of global industrial structure, career development in emerging industries such as artificial intelligence, big data, new energy and e-commerce is gradually attracting attention. Methods This study utilizes a mixed research method of questionnaires and in-depth interviews. The research team distributed a total of 700 questionnaires to practitioners in China, the United States, Japan, Germany and India, and collected interview data from 20 industry practitioners. These data were analyzed from both quantitative and qualitative perspectives to analyze the drivers and barriers to career development, and structural equation modeling was used to analyze the relationship between career motivation, barriers, social networks, and career satisfaction. Results The results indicate that career development motivation significantly and positively influences career satisfaction, while individuals with high career satisfaction perceive fewer career barriers. In addition, career barriers significantly influenced individuals’ perceptions of career discrimination. The study also found that social networks play an important supportive role in career development, and that extensive social networks increase career satisfaction. Individuals with high motivation were more resilient in the face of external barriers and were willing to retrain to improve their occupational skills. Discussion To promote career development in emerging industries, labor market policies should optimize and create fair and inclusive work environments for emerging industries. By eliminating gender, age, and racial discrimination and providing employee support programs, career development satisfaction and opportunities can be effectively enhanced. Conclusion Rapid technological updates, high work pressure, and cross-cultural barriers in emerging industries are the main challenges to career development today. This study suggests that governments and enterprises should jointly provide flexible vocational training and support policies to help practitioners adapt to the rapidly changing occupational environment.",https://doi.org/10.3389/fsoc.2024.1486871,https://pdfs.semanticscholar.org/69d1/9a04ab47c5587978b77e9895975d32855f99.pdf
24,What kinds of career options do rural disadvantaged youth want to know about? Career needs assessment framework and findings from two different contexts in India,"J. Joshi, Anuradha J. Bakshi",27 November 2019,British Journal of Guidance & Counselling," In this paper, we present a framework to examine the kinds of careers that rural disadvantaged youth would like to know about in a career guidance intervention as also related findings from two different rural disadvantaged contexts in India. Differences across gender, age group, region, and participation/non-participation in youth programmes are also explored. The results validate the importance of comprehensive career needs assessment and provide specific directions for designing and adapting career guidance interventions for rural disadvantaged youth. Implications for research and practice are discussed in general as well as for the specific contexts included in this study. ",https://doi.org/10.1080/03069885.2019.1692465,http://tandfonline.com/doi/full/10.1080/03069885.2019.1692465
25,"Education Abroad: engineering, privatization, and the new middle class in neoliberalizing India",A. Khandekar,1 December 2013,Engineering Studies,"In this essay, I examine ‘Education Abroad’– the large-scale migration of engineering students from India to the USA for seeking graduate education. I argue that Education Abroad in contemporary India is articulated at the intersection of multiple factors at different scales. These include imaginations of successful careers and lifestyles as well as frustrations with state-sponsored higher education in India – factors which, in turn, are themselves located within particular histories of (post)colonialism, developmentalism, and more recently, neoliberalism. Drawing on historical analysis and ethnographic research conducted among engineering students in Mumbai, India, and various parts of the USA, I trace ways in which Indian engineers make sense of and navigate through the intersections of these various historical and contemporary currents and the particular shape of Education Abroad that emerges as a result. Moreover, I suggest, in pursuing Education Abroad, these engineers inadvertently undermine the very systems of higher education of which they are legacy beneficiaries. ",https://doi.org/10.1080/19378629.2013.859686,https://www.tandfonline.com/doi/abs/10.1080/19378629.2013.859686